beta,lr,seed,error_u_relative,error_u_abs,error_u_linf,checkpoint_file
1.0,1.0,64,0.008062,0.004578,0.015357,PINN_convection_beta_1.0_lr_1.0_seed_064.pt
1.0,1.0,65,0.009731,0.005708,0.021808,PINN_convection_beta_1.0_lr_1.0_seed_065.pt
1.0,1.0,66,0.013696,0.007452,0.032135,PINN_convection_beta_1.0_lr_1.0_seed_066.pt
1.0,1.0,67,0.009384,0.004971,0.019373,PINN_convection_beta_1.0_lr_1.0_seed_067.pt
1.0,1.0,68,0.013241,0.007853,0.022758,PINN_convection_beta_1.0_lr_1.0_seed_068.pt
1.0,1.0,69,0.013795,0.008069,0.021564,PINN_convection_beta_1.0_lr_1.0_seed_069.pt
1.0,1.0,70,0.019566,0.011632,0.040909,PINN_convection_beta_1.0_lr_1.0_seed_070.pt
1.0,1.0,71,0.008853,0.005495,0.012993,PINN_convection_beta_1.0_lr_1.0_seed_071.pt
1.0,1.0,72,0.007254,0.004393,0.009342,PINN_convection_beta_1.0_lr_1.0_seed_072.pt
1.0,1.0,73,0.006581,0.004002,0.011715,PINN_convection_beta_1.0_lr_1.0_seed_073.pt
1.0,1.0,74,0.01136,0.006719,0.019651,PINN_convection_beta_1.0_lr_1.0_seed_074.pt
1.0,1.0,75,0.014068,0.008251,0.02466,PINN_convection_beta_1.0_lr_1.0_seed_075.pt
1.0,1.0,76,0.011082,0.006502,0.021664,PINN_convection_beta_1.0_lr_1.0_seed_076.pt
1.0,1.0,77,0.012209,0.007107,0.021748,PINN_convection_beta_1.0_lr_1.0_seed_077.pt
1.0,1.0,78,0.00867,0.005115,0.014802,PINN_convection_beta_1.0_lr_1.0_seed_078.pt
1.0,1.0,79,0.006239,0.003815,0.00951,PINN_convection_beta_1.0_lr_1.0_seed_079.pt
1.0,1.0,80,0.005775,0.003404,0.011953,PINN_convection_beta_1.0_lr_1.0_seed_080.pt
1.0,1.0,81,0.009401,0.005152,0.021642,PINN_convection_beta_1.0_lr_1.0_seed_081.pt
1.0,1.0,82,0.008463,0.004815,0.016483,PINN_convection_beta_1.0_lr_1.0_seed_082.pt
1.0,1.0,83,0.008074,0.004783,0.014189,PINN_convection_beta_1.0_lr_1.0_seed_083.pt
1.0,1.0,84,0.00842,0.005112,0.014635,PINN_convection_beta_1.0_lr_1.0_seed_084.pt
1.0,1.0,85,0.008306,0.004404,0.04031,PINN_convection_beta_1.0_lr_1.0_seed_085.pt
1.0,1.0,86,0.014084,0.008028,0.029373,PINN_convection_beta_1.0_lr_1.0_seed_086.pt
1.0,1.0,87,0.003585,0.001935,0.014582,PINN_convection_beta_1.0_lr_1.0_seed_087.pt
1.0,1.0,88,0.007926,0.004551,0.013309,PINN_convection_beta_1.0_lr_1.0_seed_088.pt
