beta,lr,seed,error_u_relative,error_u_abs,error_u_linf,checkpoint_file
50.0,1.0,1,1.045869,0.644167,1.421694,PINN_convection_beta_50.0_lr_1.0_seed_001.pt
50.0,1.0,2,1.505058,0.84565,1.940326,PINN_convection_beta_50.0_lr_1.0_seed_002.pt
50.0,1.0,3,1.060054,0.651101,1.454273,PINN_convection_beta_50.0_lr_1.0_seed_003.pt
50.0,1.0,4,1.017928,0.63538,1.179596,PINN_convection_beta_50.0_lr_1.0_seed_004.pt
50.0,1.0,5,1.555382,0.872609,1.885711,PINN_convection_beta_50.0_lr_1.0_seed_005.pt
50.0,1.0,6,0.993296,0.626367,1.235185,PINN_convection_beta_50.0_lr_1.0_seed_006.pt
50.0,1.0,7,0.998427,0.628496,1.162086,PINN_convection_beta_50.0_lr_1.0_seed_007.pt
50.0,1.0,8,1.014949,0.6393,1.671989,PINN_convection_beta_50.0_lr_1.0_seed_008.pt
50.0,1.0,9,0.999614,0.629428,1.148292,PINN_convection_beta_50.0_lr_1.0_seed_009.pt
50.0,1.0,10,0.982577,0.617165,1.161903,PINN_convection_beta_50.0_lr_1.0_seed_010.pt
50.0,1.0,11,1.098762,0.662511,1.364108,PINN_convection_beta_50.0_lr_1.0_seed_011.pt
50.0,1.0,12,1.189849,0.694903,1.49663,PINN_convection_beta_50.0_lr_1.0_seed_012.pt
50.0,1.0,13,1.538862,0.864886,1.940095,PINN_convection_beta_50.0_lr_1.0_seed_013.pt
50.0,1.0,14,1.179903,0.693162,1.541481,PINN_convection_beta_50.0_lr_1.0_seed_014.pt
50.0,1.0,15,1.348457,0.76469,1.740598,PINN_convection_beta_50.0_lr_1.0_seed_015.pt
50.0,1.0,16,1.022743,0.635355,1.56157,PINN_convection_beta_50.0_lr_1.0_seed_016.pt
50.0,1.0,17,1.444616,0.811756,1.833663,PINN_convection_beta_50.0_lr_1.0_seed_017.pt
50.0,1.0,18,0.992939,0.625858,1.097076,PINN_convection_beta_50.0_lr_1.0_seed_018.pt
50.0,1.0,19,0.994126,0.627348,1.176124,PINN_convection_beta_50.0_lr_1.0_seed_019.pt
50.0,1.0,20,1.058279,0.649558,1.2997,PINN_convection_beta_50.0_lr_1.0_seed_020.pt
50.0,1.0,21,1.200709,0.700783,1.551713,PINN_convection_beta_50.0_lr_1.0_seed_021.pt
50.0,1.0,22,1.000639,0.631183,1.524869,PINN_convection_beta_50.0_lr_1.0_seed_022.pt
50.0,1.0,23,1.07356,0.657249,1.650098,PINN_convection_beta_50.0_lr_1.0_seed_023.pt
50.0,1.0,24,1.00251,0.63013,1.242692,PINN_convection_beta_50.0_lr_1.0_seed_024.pt
50.0,1.0,25,1.035824,0.641327,1.248148,PINN_convection_beta_50.0_lr_1.0_seed_025.pt
50.0,1.0,26,1.008693,0.631574,1.191991,PINN_convection_beta_50.0_lr_1.0_seed_026.pt
50.0,1.0,27,1.057293,0.648238,1.325768,PINN_convection_beta_50.0_lr_1.0_seed_027.pt
50.0,1.0,28,1.462089,0.824847,1.857938,PINN_convection_beta_50.0_lr_1.0_seed_028.pt
50.0,1.0,29,0.998788,0.628679,1.211887,PINN_convection_beta_50.0_lr_1.0_seed_029.pt
50.0,1.0,30,1.020929,0.635467,1.238935,PINN_convection_beta_50.0_lr_1.0_seed_030.pt
50.0,1.0,31,1.155058,0.683295,1.454114,PINN_convection_beta_50.0_lr_1.0_seed_031.pt
50.0,1.0,32,1.605409,0.901436,1.921786,PINN_convection_beta_50.0_lr_1.0_seed_032.pt
50.0,1.0,33,1.003865,0.62978,1.163247,PINN_convection_beta_50.0_lr_1.0_seed_033.pt
50.0,1.0,34,1.072453,0.652506,1.31274,PINN_convection_beta_50.0_lr_1.0_seed_034.pt
50.0,1.0,35,0.999998,0.631015,1.219221,PINN_convection_beta_50.0_lr_1.0_seed_035.pt
50.0,1.0,36,1.211191,0.703581,1.535776,PINN_convection_beta_50.0_lr_1.0_seed_036.pt
50.0,1.0,37,1.018335,0.636452,1.199193,PINN_convection_beta_50.0_lr_1.0_seed_037.pt
50.0,1.0,38,1.042085,0.642313,1.266268,PINN_convection_beta_50.0_lr_1.0_seed_038.pt
50.0,1.0,39,0.990491,0.622903,1.206553,PINN_convection_beta_50.0_lr_1.0_seed_039.pt
50.0,1.0,40,0.995097,0.627923,1.224305,PINN_convection_beta_50.0_lr_1.0_seed_040.pt
50.0,1.0,41,0.996159,0.625218,1.229174,PINN_convection_beta_50.0_lr_1.0_seed_041.pt
50.0,1.0,42,1.113379,0.660058,1.427433,PINN_convection_beta_50.0_lr_1.0_seed_042.pt
50.0,1.0,43,1.555536,0.877117,1.930506,PINN_convection_beta_50.0_lr_1.0_seed_043.pt
50.0,1.0,44,1.148803,0.677262,1.510966,PINN_convection_beta_50.0_lr_1.0_seed_044.pt
50.0,1.0,45,1.032457,0.630799,1.35169,PINN_convection_beta_50.0_lr_1.0_seed_045.pt
50.0,1.0,46,1.021311,0.63628,1.689559,PINN_convection_beta_50.0_lr_1.0_seed_046.pt
50.0,1.0,47,1.101333,0.660494,1.389399,PINN_convection_beta_50.0_lr_1.0_seed_047.pt
50.0,1.0,48,1.039797,0.639952,1.292957,PINN_convection_beta_50.0_lr_1.0_seed_048.pt
50.0,1.0,49,0.997644,0.628068,1.232917,PINN_convection_beta_50.0_lr_1.0_seed_049.pt
50.0,1.0,50,1.417503,0.800105,1.79682,PINN_convection_beta_50.0_lr_1.0_seed_050.pt
50.0,1.0,51,0.994095,0.624254,1.282066,PINN_convection_beta_50.0_lr_1.0_seed_051.pt
50.0,1.0,52,0.991044,0.620276,1.305318,PINN_convection_beta_50.0_lr_1.0_seed_052.pt
50.0,1.0,53,1.544381,0.871797,1.92855,PINN_convection_beta_50.0_lr_1.0_seed_053.pt
50.0,1.0,54,0.992514,0.626642,1.11883,PINN_convection_beta_50.0_lr_1.0_seed_054.pt
50.0,1.0,55,0.992659,0.626773,1.132408,PINN_convection_beta_50.0_lr_1.0_seed_055.pt
50.0,1.0,56,1.574806,0.886149,1.909716,PINN_convection_beta_50.0_lr_1.0_seed_056.pt
50.0,1.0,57,1.021482,0.636068,1.25269,PINN_convection_beta_50.0_lr_1.0_seed_057.pt
