beta,lr,seed,error_u_relative,error_u_abs,error_u_linf,checkpoint_file
50.0,1.0,58,0.993833,0.627008,1.232951,PINN_convection_beta_50.0_lr_1.0_seed_058.pt
50.0,1.0,59,1.583625,0.888044,2.259968,PINN_convection_beta_50.0_lr_1.0_seed_059.pt
50.0,1.0,60,1.028998,0.636012,1.283207,PINN_convection_beta_50.0_lr_1.0_seed_060.pt
50.0,1.0,61,1.114042,0.666522,1.475503,PINN_convection_beta_50.0_lr_1.0_seed_061.pt
50.0,1.0,62,1.550425,0.869898,1.969878,PINN_convection_beta_50.0_lr_1.0_seed_062.pt
50.0,1.0,63,0.996619,0.627987,1.208832,PINN_convection_beta_50.0_lr_1.0_seed_063.pt
50.0,1.0,64,1.12552,0.670996,1.438492,PINN_convection_beta_50.0_lr_1.0_seed_064.pt
50.0,1.0,65,1.164647,0.686442,1.711097,PINN_convection_beta_50.0_lr_1.0_seed_065.pt
50.0,1.0,66,1.192071,0.69793,1.521913,PINN_convection_beta_50.0_lr_1.0_seed_066.pt
50.0,1.0,67,1.541917,0.869928,1.883132,PINN_convection_beta_50.0_lr_1.0_seed_067.pt
50.0,1.0,68,1.527484,0.857496,2.012025,PINN_convection_beta_50.0_lr_1.0_seed_068.pt
50.0,1.0,69,1.046569,0.643541,1.258523,PINN_convection_beta_50.0_lr_1.0_seed_069.pt
50.0,1.0,70,1.52229,0.853218,1.847368,PINN_convection_beta_50.0_lr_1.0_seed_070.pt
50.0,1.0,71,1.590649,0.890674,1.912404,PINN_convection_beta_50.0_lr_1.0_seed_071.pt
50.0,1.0,72,1.053893,0.647059,1.282702,PINN_convection_beta_50.0_lr_1.0_seed_072.pt
50.0,1.0,73,1.036792,0.641554,1.29523,PINN_convection_beta_50.0_lr_1.0_seed_073.pt
50.0,1.0,74,1.03428,0.640965,1.510721,PINN_convection_beta_50.0_lr_1.0_seed_074.pt
50.0,1.0,75,1.552505,0.86857,1.881504,PINN_convection_beta_50.0_lr_1.0_seed_075.pt
50.0,1.0,76,1.084726,0.656602,1.336562,PINN_convection_beta_50.0_lr_1.0_seed_076.pt
50.0,1.0,77,1.087911,0.65796,1.3962,PINN_convection_beta_50.0_lr_1.0_seed_077.pt
50.0,1.0,78,1.013217,0.634313,1.162644,PINN_convection_beta_50.0_lr_1.0_seed_078.pt
50.0,1.0,79,1.073447,0.652755,1.334184,PINN_convection_beta_50.0_lr_1.0_seed_079.pt
50.0,1.0,80,0.998756,0.628809,1.304844,PINN_convection_beta_50.0_lr_1.0_seed_080.pt
50.0,1.0,81,1.015917,0.630468,1.189197,PINN_convection_beta_50.0_lr_1.0_seed_081.pt
50.0,1.0,82,1.13304,0.667576,1.415133,PINN_convection_beta_50.0_lr_1.0_seed_082.pt
50.0,1.0,83,0.992361,0.622678,1.205661,PINN_convection_beta_50.0_lr_1.0_seed_083.pt
50.0,1.0,84,1.077324,0.655816,1.351499,PINN_convection_beta_50.0_lr_1.0_seed_084.pt
50.0,1.0,85,0.998839,0.631138,1.206663,PINN_convection_beta_50.0_lr_1.0_seed_085.pt
50.0,1.0,86,1.080073,0.656013,1.402154,PINN_convection_beta_50.0_lr_1.0_seed_086.pt
50.0,1.0,87,1.062165,0.648444,1.480855,PINN_convection_beta_50.0_lr_1.0_seed_087.pt
50.0,1.0,88,1.043985,0.645119,1.330337,PINN_convection_beta_50.0_lr_1.0_seed_088.pt
50.0,1.0,89,1.378491,0.776561,1.72712,PINN_convection_beta_50.0_lr_1.0_seed_089.pt
50.0,1.0,90,1.526944,0.859433,1.922545,PINN_convection_beta_50.0_lr_1.0_seed_090.pt
50.0,1.0,91,1.280254,0.731714,1.770385,PINN_convection_beta_50.0_lr_1.0_seed_091.pt
50.0,1.0,92,1.292892,0.740581,1.610106,PINN_convection_beta_50.0_lr_1.0_seed_092.pt
50.0,1.0,93,1.350829,0.768689,1.678845,PINN_convection_beta_50.0_lr_1.0_seed_093.pt
50.0,1.0,94,1.539791,0.865933,1.881845,PINN_convection_beta_50.0_lr_1.0_seed_094.pt
50.0,1.0,95,0.992935,0.627549,1.127705,PINN_convection_beta_50.0_lr_1.0_seed_095.pt
50.0,1.0,96,1.031219,0.638755,1.323723,PINN_convection_beta_50.0_lr_1.0_seed_096.pt
50.0,1.0,97,1.023041,0.635971,1.201303,PINN_convection_beta_50.0_lr_1.0_seed_097.pt
50.0,1.0,98,1.569992,0.881631,1.901855,PINN_convection_beta_50.0_lr_1.0_seed_098.pt
50.0,1.0,99,1.638692,0.930874,1.981574,PINN_convection_beta_50.0_lr_1.0_seed_099.pt
50.0,1.0,100,1.019509,0.638876,1.448106,PINN_convection_beta_50.0_lr_1.0_seed_100.pt
